829,17,2239
829,17,2240
829,19,2241
827,21,2242
821,32,2243
821,32,2244
821,36,2245
821,37,2246
821,37,2247
820,39,2248
820,39,2249
820,39,2250
820,39,2251
818,41,2252
817,42,2253
817,43,2254
817,43,2255
817,18,2256
846,14,2256
815,19,2257
847,13,2257
815,18,2258
847,13,2258
814,17,2259
847,13,2259
814,16,2260
848,12,2260
814,16,2261
848,12,2261
814,15,2262
849,11,2262
813,16,2263
849,11,2263
813,16,2264
849,11,2264
813,16,2265
849,12,2265
812,16,2266
849,12,2266
812,16,2267
849,11,2267
812,16,2268
849,11,2268
812,16,2269
848,12,2269
812,16,2270
847,12,2270
812,16,2271
847,12,2271
812,16,2272
847,12,2272
812,16,2273
847,12,2273
812,16,2274
847,12,2274
811,19,2275
847,11,2275
811,19,2276
846,12,2276
811,19,2277
844,14,2277
811,20,2278
843,15,2278
811,21,2279
842,16,2279
811,21,2280
842,15,2280
811,45,2281
811,44,2282
818,37,2283
820,35,2284
821,34,2285
822,32,2286
823,30,2287
827,22,2288
828,20,2289
